Date,Age,Cases,Hospitalized,Deaths
3/22/2020,0-19,18,3,0
3/22/2020,20-29,93,1,0
3/22/2020,30-39,112,5,0
3/22/2020,40-49,134,7,0
3/22/2020,50-59,119,12,1
3/22/2020,60-69,87,15,0
3/22/2020,70-79,51,25,2
3/22/2020,80+,30,24,2
3/23/2020,0-19,19,3,0
3/23/2020,20-29,115,1,0
3/23/2020,30-39,132,5,0
3/23/2020,40-49,152,7,0
3/23/2020,50-59,143,12,1
3/23/2020,60-69,110,16,1
3/23/2020,70-79,64,31,4
3/23/2020,80+,41,31,3
3/24/2020,0-19,24,3,0
3/24/2020,20-29,188,2,0
3/24/2020,30-39,205,5,0
3/24/2020,40-49,214,9,0
3/24/2020,50-59,208,13,1
3/24/2020,60-69,153,20,2
3/24/2020,70-79,100,43,4
3/24/2020,80+,63,43,4
3/24/2020,Unknown,3,0,0
3/25/2020,0-19,41,3,0
3/25/2020,20-29,326,2,0
3/25/2020,30-39,322,5,0
3/25/2020,40-49,313,9,0
3/25/2020,50-59,330,13,1
3/25/2020,60-69,249,21,2
3/25/2020,70-79,160,61,6
3/25/2020,80+,94,60,6
3/26/2020,0-19,53,4,0
3/26/2020,20-29,425,2,0
3/26/2020,30-39,433,5,0
3/26/2020,40-49,386,9,0
3/26/2020,50-59,437,14,2
3/26/2020,60-69,329,23,2
3/26/2020,70-79,207,77,8
3/26/2020,80+,140,86,13
3/26/2020,Unknown,2,0,0
3/27/2020,0-19,63,5,0
3/27/2020,20-29,567,7,0
3/27/2020,30-39,581,11,0
3/27/2020,40-49,526,30,0
3/27/2020,50-59,597,49,2
3/27/2020,60-69,442,59,4
3/27/2020,70-79,274,94,8
3/27/2020,80+,195,109,21
3/27/2020,Unknown,2,0,0
3/28/2020,0-19,83,5,0
3/28/2020,20-29,723,11,0
3/28/2020,30-39,752,15,0
3/28/2020,40-49,690,35,0
3/28/2020,50-59,812,62,3
3/28/2020,60-69,588,69,5
3/28/2020,70-79,348,111,9
3/28/2020,80+,263,134,27
3/28/2020,Unknown,7,0,0
3/29/2020,0-19,101,5,0
3/29/2020,20-29,842,12,0
3/29/2020,30-39,866,20,0
3/29/2020,40-49,810,37,0
3/29/2020,50-59,953,69,3
3/29/2020,60-69,686,79,5
3/29/2020,70-79,398,130,10
3/29/2020,80+,301,149,30
3/29/2020,Unknown,7,0,0
