Date of Death,New Deaths,Running Total
3/18/2020,2,2
3/19/2020,1,3
3/20/2020,2,5
3/21/2020,2,7
3/22/2020,4,11
3/23/2020,6,17
3/24/2020,9,26
3/25/2020,7,33
3/26/2020,9,42
3/27/2020,15,57
3/28/2020,15,72
3/29/2020,27,99
3/30/2020,26,125
3/31/2020,29,154
4/1/2020,35,189
4/2/2020,42,231
4/3/2020,36,267
4/4/2020,39,306
4/5/2020,67,373
4/6/2020,78,451
4/7/2020,67,518
4/8/2020,100,618
4/9/2020,110,728
4/10/2020,106,834
4/11/2020,116,950
4/12/2020,110,1060
4/13/2020,157,1217
4/14/2020,119,1336
4/15/2020,175,1511
4/16/2020,167,1678
4/17/2020,159,1837
4/18/2020,167,2004
4/19/2020,170,2174
4/20/2020,167,2341
4/21/2020,152,2493
4/22/2020,152,2645
4/23/2020,187,2832
4/24/2020,182,3014
4/25/2020,138,3152
4/26/2020,141,3293
4/27/2020,138,3431
4/28/2020,97,3528
