Date,Race/Ethnicity,All Cases,Ever Hospitaltized,Deaths
4/6/2020,Non-Hispanic White,2120,320,55
4/6/2020,Non-Hispanic Black/African American,643,61,3
4/6/2020,Hispanic,857,80,6
4/6/2020,Non-Hispanic Asian,173,20,4
4/6/2020,Non-Hispanic Other,384,56,4
4/6/2020,Unknown/Missing,9660,704,188
4/8/2020,Hispanic,1162,104,14
4/8/2020,Non-Hispanic White,2751,416,98
4/8/2020,Non-Hispanic Black/African American,889,85,7
4/8/2020,Non-Hispanic Asian,235,31,6
4/8/2020,Non-Hispanic Other,506,73,8
4/8/2020,Unknown/Missing,11247,874,300
4/9/2020,Hispanic,1315,124,19
4/9/2020,Non-Hispanic White,3151,479,120
4/9/2020,Non-Hispanic Black/African American,992,100,11
4/9/2020,Non-Hispanic Asian,265,34,6
4/9/2020,Non-Hispanic Other,577,85,9
4/9/2020,Unknown/Missing,12641,924,338
4/10/2020,Hispanic,1563,,23
4/10/2020,Non-Hispanic White,3588,,152
4/10/2020,Non-Hispanic Black/African American,1151,,15
4/10/2020,Non-Hispanic Asian,297,,9
4/10/2020,Non-Hispanic Other,632,,12
4/10/2020,Unknown/Missing,13743,,388
4/11/2020,Hispanic,1707,,26
4/11/2020,Non-Hispanic White,3889,,178
4/11/2020,Non-Hispanic Black/African American,1254,,17
4/11/2020,Non-Hispanic Asian,317,,12
4/11/2020,Non-Hispanic Other,683,,14
4/11/2020,Unknown/Missing,15010,,439
4/12/2020,Hispanic,1885,,28
4/12/2020,Non-Hispanic White,4271,,199
4/12/2020,Non-Hispanic Black/African American,1358,,20
4/12/2020,Non-Hispanic Asian,331,,13
4/12/2020,Non-Hispanic Other,733,,16
4/12/2020,Unknown/Missing,16897,,480
4/13/2020,Hispanic,2033,,32
4/13/2020,Non-Hispanic White,4588,,222
4/13/2020,Non-Hispanic Black/African American,1432,,27
4/13/2020,Non-Hispanic Asian,347,,14
4/13/2020,Non-Hispanic Other,778,,16
4/13/2020,Unknown/Missing,17689,,533
4/14/2020,Hispanic,2255,199,38
4/14/2020,Non-Hispanic White,4997,762,256
4/14/2020,Non-Hispanic Black/African American,1579,182,35
4/14/2020,Non-Hispanic Asian,370,56,16
4/14/2020,Non-Hispanic Other,844,119,17
4/14/2020,Unknown/Missing,18118,1233,595
4/15/2020,Hispanic,2537,228,50
4/15/2020,Non-Hispanic White,5437,858,306
4/15/2020,Non-Hispanic Black/African American,1749,207,40
4/15/2020,Non-Hispanic Asian,397,60,16
4/15/2020,Non-Hispanic Other,916,130,21
4/15/2020,Unknown/Missing,18882,1309,675
4/16/2020,Hispanic,2865,269,56
4/16/2020,Non-Hispanic White,6014,951,356
4/16/2020,Non-Hispanic Black/African American,1942,230,47
4/16/2020,Non-Hispanic Asian,451,66,19
4/16/2020,Non-Hispanic Other,994,140,25
4/16/2020,Unknown/Missing,19915,1406,742
4/17/2020,Hispanic,3185,304,58
4/17/2020,Non-Hispanic White,6537,1038,414
4/17/2020,Non-Hispanic Black/African American,2144,258,59
4/17/2020,Non-Hispanic Asian,485,76,21
4/17/2020,Non-Hispanic Other,1082,158,34
4/17/2020,Unknown/Missing,20969,1480,818
4/18/2020,Non-Hispanic White,7122,1103,464
4/18/2020,Non-Hispanic Black/African American,2339,284,71
4/18/2020,Hispanic,3518,335,75
4/18/2020,Non-Hispanic Asian,517,80,26
4/18/2020,Non-Hispanic Other,1167,166,39
4/18/2020,Unknown/Missing,21709,1541,885
4/19/2020,Non-Hispanic White,7640,1161,520
4/19/2020,Non-Hispanic Black/African American,2524,306,78
4/19/2020,Hispanic,3818,359,81
4/19/2020,Non-Hispanic Asian,538,85,30
4/19/2020,Non-Hispanic Other,1239,184,41
4/19/2020,Unknown/Missing,22318,1580,956
4/20/2020,Non-Hispanic White,8170,1208,556
4/20/2020,Non-Hispanic Black/African American,2651,313,85
4/20/2020,Hispanic,4003,367,87
4/20/2020,Non-Hispanic Asian,552,88,36
4/20/2020,Non-Hispanic Other,1281,187,43
4/20/2020,Unknown/Missing,22986,1627,1002
4/21/2020,Non-Hispanic White,8601,1295,618
4/21/2020,Non-Hispanic Black/African American,2811,336,94
